chunk_id,summary
01_元宵節新年快樂_115年嚴峻財務狀況_預,科工館預算因財化法及「三減一」政策可能減少四分之一，約八千萬，導致營運困難，甚至可能半年關門。此舉不僅影響科工館整體優越性，也可能波及各部會補助，引發天怒人怨。科工館認為此政策不合理，應檢討中央對地方預算的影響，並呼籲謹慎處理，避免衝擊博物館營運。
02_博物館面臨經費缺口_嚴重影響營運_補助減,科工館因補助減少，預計年度經費減少25%，約八千萬元，可能影響開館時間甚至面臨關閉。即使有盈餘也難以彌補缺口。目前可用資金約兩億五千多萬，為年初撥付的補助款，屬活儲而非長久解方。若無法有效籌措資金，明年將面臨更嚴峻的財務困境，可能需要調整開館時間或限制營運。
03_財報法補助問題影響業務審核及成本效益檢討,Speaker_09 指出財報法補助問題可能導致業務審核和成本效益檢討，影響地方補助，甚至可能造成業務和人事調整。他認為財報法未經審慎研究，可能造成混亂，需高層智慧化解。目前單位僅剩七萬業務費，相較其他單位（如行政院南部辦公室）資源嚴重不足。
04_預算可能刪減至四分之三做好準備,科工館預算可能遭刪減至四分之三，Speaker_09建議各單位以預算減少25%（或四分之三）為前提，檢視115年度預算支出，並逐步調整114年度預算，以應對可能的刪減。需提前做好準備，避免突發狀況。此次為114年2月12日第三次廣播會報。
05_開始第三次廣播會報,本次為科工館114年2月12日的第三次廣播會報，全體14位應出席者皆已到齊。會議主持人（主席）將正式宣布開始。會前進行錄音確認，未來將在會議正式開始前，由主席宣布開始，以確保錄音順暢。
06_上次會報紀錄討論_嚴考報告,上次會報紀錄已呈現於螢幕，現正進行討論與修整。確認無須調整後，進入嚴考報告的討論環節。
07_管考進度檢核會議已完成七項_工業史經聽案,館內管考進度檢核會議已完成七項。工業史經聽案現況與簽案不符，已批回重擬。因教育部預算被砍除11億多，後續經費取得困難，需審慎評估後續作為。收研組與展示組需更新工業史經聽案的現況說明。
08_預算引轉地方檢討管所預算遭砍特展規劃經費,科工館收研組應主導檢討被地方政府引用的預算，因管所與地方關聯性低，預算遭砍有問題。建議以特展方式結合30週年展規劃，先研究再爭取經費。若預算持續被砍，後續規劃不容樂觀。藝教館館長每月發彩券鼓勵同仁，可作為正面鼓勵的參考。
09_博物館組織交流_SPEC會議兩年一次_今,本次會議報告，收研組說明原定兩年一次的SPEC會議，因與SPEC執行長溝通後，確定今年不舉辦。科工館將取消相關出貨計畫。另，業務匯報部分，需補充說明「國家發明獎」五個字。收研組負責協調此項工作。
10_國家發明獎中華電信楊顧問情報處理市政展示,發言者說明國家發明獎110年升級後的辦理情形，並補充中華電信楊顧問相關情報處理進度。目前市政展示組、社運組正在處理相關事務，會適時向中華電信回報處理進度。
11_國保選件天文植物儀採購事宜修正_嘉信遊艇,會議討論國保選件天文植物儀採購事宜，原計畫於11月提報，後因研究計畫及簽合等因素，需將採購事宜修正至2月份工作重點處理。另，遊艇產業的嘉信遊艇公司與拜訪對象為不同公司，不宜結合。修銷主任已於昨日拜訪候選公司，將會拜訪相關公司處理後續事宜。
12_拜訪公司加薪物件評估ESG環境監測現場勘,Speaker_09建議深入研究遊艇公會的產業生態，透過拜訪多家公司收集完整資料，並指派專業人員進行物件評估、ESG環境監測與現場勘察，與傑克、慶泰合作，收研單位也需參與，以確保研究的深度與廣度。
13_執行情形報告時間點_報告撰寫時長_圖書館,Speaker_09（館長）強調報告撰寫需明確時間點，並提醒收展組注意報告中的錯別字（如「城」）。針對圖書館淘汰設備，館長建議可多方了解國內其他圖書館意願，若為唯一設備可考慮保存，若非必要則以保存一台為原則。另，曾與台灣圖書館陳館長討論過視障電腦的收藏可能性。
14_收言組錯別字更正_國寶文創品追加製作_美,收言組需修正十四頁一八三處「千層的城」錯字。科工館規劃追加製作國寶文創品（型號一三四二三零二），以提升與貴賓互動性，相關指示待執行單位確認。美訊頭已於一月送單請廠商加快製作。收言組亦需留意文創品製作進度。
15_海森館的文創品送給次長且分量較大_與過去,Speaker_09 觀察到各館送禮給次長（林次長，桃園縣教育局來）時，海森館送的文創品（銅製鯨魚擺飾，大布袋包裝）分量較大，與過去送潘部長時的「小家子氣」形成對比。未來送禮需考慮分量和等級，以符合對象的職位及重要性。此事件與鄭文燦時期教育局長人事異動有關。
16_禮物等級分量送禮策略國寶硬碟市長中華電信,科工館團隊討論禮品選擇策略，避免送禮時顯得小家子氣。原先考慮送給市長的「國寶硬碟」比送「中華電信硬碟」更有面子，且在11月時曾一度缺貨。Speaker_09 認為禮品的分量和等級很重要，建議送有分量的禮品，並在送禮時注意整體呈現效果。
17_梅軒小組收研組收藏品書寫_展示組投影機修,科工館收研組正進行年度收藏品書寫計畫，需加強故事性內容。展示組已於2月8日完成營運管理資訊專區聯電木拉克紀念館投影機修復。此外，展示組拜訪遊艇服務公會潘太安理事長，向其說明與捷克遊艇合作狀況，並獲理事長允諾協助聯繫相關廠商，預計兩天後回報進度，需加緊後續作業。
18_114年度工廠及活動進度報告_1月14號,科工館114年度工廠及活動進度報告：1月14日部分驗收發現兩項缺失，已於2月7日請設計建造單位改善。室內裝修許可延期至4月30日，目標3月24日前完成第一階段審查，4月21日前完成所有作業。因廠商延誤，將做出發責處理，復驗由本機關（科工館）辦理，由課教組負責。
19_驗收流程試裝圖審消防圖審時間順序廠商配合,會議討論試裝圖審與消防圖審的流程與時程，目標於3月24日前完成。Speaker_00 強調試裝與消防可同時進行，但需廠商配合，並由密疏室積極協助，以書面形式明確各單位責任，避免延誤（拖至現在）。Speaker_03則說明流程順序與時間點。
20_驗收進度嚴重延遲可能導致後果_責任人朱玲,科工館驗收進度嚴重延遲，已拖延至2月中，部分驗收仍未完成。Speaker_09 強調僅剩三次送件機會，若再次被拒絕將有嚴重後果。他責成朱玲、建良、秘書室積極辦理，務必以管的立場處理，並要求每週報告進度。秘書室需積極協助，釐清問題關鍵點，切勿僅由建良單獨處理。
